USER WARNING,Quantity,Purpose,Document_Title,Special_Conditions,Description,Source_Code,Certificate_Number,Valid_Until,Consignee_Country,Management_Authority,Common_Name,Permittee_Country,Consignee_Address,Origin,Permittee_Name,Scientific_Name,Permittee_Address,Consignee_Name,Issue_Date,Security_Stamp
Synthetic Data,5,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Unstriped ground squirrel,Namibia,Gaborone,NA,Masego Oluwatoyin,Xerus rutilus,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Patas monkey,Namibia,Gaborone,Zambia,Masego Oluwatoyin,Erythrocebus patas,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Long-tailed cormorant,Namibia,Gaborone,Zambia,Masego Oluwatoyin,Phalacrocorax africanus,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Little grebe,Namibia,Gaborone,Zambia,Masego Oluwatoyin,Tachybaptus ruficollis,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,3,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Eland,Namibia,Gaborone,Namibia,Masego Oluwatoyin,Taurotragus oryx,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Dwarf mongoose,Namibia,Gaborone,NA,Masego Oluwatoyin,Helogale undulata,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Spotted hyena,Namibia,Gaborone,Namibia,Masego Oluwatoyin,Crocuta crocuta,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,3,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Bat-eared fox,Namibia,Gaborone,NA,Masego Oluwatoyin,Otocyon megalotis,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Greater kudu,Namibia,Gaborone,NA,Masego Oluwatoyin,Tragelaphus strepsiceros,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,4,C,Import Permit,NA,NA,NA,00BW0516589,11/16/2004,Botswana,Department of Wildlife and National Parks,Beisa oryx,Namibia,Gaborone,Zambia,Masego Oluwatoyin,Oryx gazella beisa,Windhoek,Rudo Chiratidzo,1/1/2003,BW 62 117
Synthetic Data,5,C,Import Permit,NA,NA,NA,92UG4942052,2/22/2004,Uganda,Uganda Wildlife Authority,Honey badger,People's Republic of China,Kampali,NA,Niedderreiter Park,Mellivora capensis,Shanghai,Koivo Park,1/2/2003,UG 73 655
Synthetic Data,3,C,Import Permit,NA,NA,NA,92UG4942052,2/22/2004,Uganda,Uganda Wildlife Authority,Greater galago,People's Republic of China,Kampali,People's Republic of China,Niedderreiter Park,Galago crassicaudatus,Shanghai,Koivo Park,1/2/2003,UG 73 655
Synthetic Data,4,C,Import Permit,NA,NA,NA,92UG4942052,2/22/2004,Uganda,Uganda Wildlife Authority,Eastern green mamba,People's Republic of China,Kampali,NA,Niedderreiter Park,Dendroaspis angusticeps,Shanghai,Koivo Park,1/2/2003,UG 73 655
Synthetic Data,4,C,Import Permit,NA,NA,NA,92UG4942052,2/22/2004,Uganda,Uganda Wildlife Authority,Gerenuk,People's Republic of China,Kampali,NA,Niedderreiter Park,Litocranius walleri,Shanghai,Koivo Park,1/2/2003,UG 73 655
Synthetic Data,5,C,Import Permit,NA,NA,NA,92UG4942052,2/22/2004,Uganda,Uganda Wildlife Authority,Leopard,People's Republic of China,Kampali,NA,Niedderreiter Park,,Shanghai,Koivo Park,1/2/2003,UG 73 655
Synthetic Data,3,C,Import Permit,NA,NA,NA,40MZ5312105,1/11/2004,Mozambique,National Directorate of Forestry and Wildlife,Nile monitor,Tanzania,Pemba,NA,Wildlife Safari,Varanus niloticus,Tabora,Jonckers Safari,1/3/2003,MZ 29 396
Synthetic Data,3,C,Import Permit,NA,NA,NA,40MZ5312105,1/11/2004,Mozambique,National Directorate of Forestry and Wildlife,Black rhinoceros,Tanzania,Pemba,Zambia,Wildlife Safari,Diceros bicronis,Tabora,Jonckers Safari,1/3/2003,MZ 29 396
Synthetic Data,4,C,Import Permit,NA,NA,NA,40MZ5312105,1/11/2004,Mozambique,National Directorate of Forestry and Wildlife,African civet,Tanzania,Pemba,Tanzania,Wildlife Safari,Civettictis civetta,Tabora,Jonckers Safari,1/3/2003,MZ 29 396
Synthetic Data,4,C,Import Permit,NA,NA,NA,40MZ5312105,1/11/2004,Mozambique,National Directorate of Forestry and Wildlife,Rothschild's giraffe,Tanzania,Pemba,Tanzania,Wildlife Safari,Giraffa camelopardalis rothschildi,Tabora,Jonckers Safari,1/3/2003,MZ 29 396
Synthetic Data,3,C,Import Permit,NA,NA,NA,40MZ5312105,1/11/2004,Mozambique,National Directorate of Forestry and Wildlife,Black-faced vervet monkey,Tanzania,Pemba,NA,Wildlife Safari,Cercopithecus aethiops,Tabora,Jonckers Safari,1/3/2003,MZ 29 396
Synthetic Data,6,C,Import Permit,NA,NA,NA,70BW5562396,6/16/2004,Botswana,Department of Wildlife and National Parks,Cattle egret,Democratic Republic of Congo,Gaborone,NA,Ghahramani Reserve,Bubulcus ibis,Likasi,Rudo Chiratidzo,1/3/2003,BW 33 505
Synthetic Data,5,C,Import Permit,NA,NA,NA,70BW5562396,6/16/2004,Botswana,Department of Wildlife and National Parks,Hippopotamus,Democratic Republic of Congo,Gaborone,NA,Ghahramani Reserve,Hippopotamus amphibius,Likasi,Rudo Chiratidzo,1/3/2003,BW 33 505
Synthetic Data,5,C,Import Permit,NA,NA,NA,70BW5562396,6/16/2004,Botswana,Department of Wildlife and National Parks,Bush pig,Democratic Republic of Congo,Gaborone,Zambia,Ghahramani Reserve,Potamochoerus porcus,Likasi,Rudo Chiratidzo,1/3/2003,BW 33 505
Synthetic Data,4,C,Import Permit,NA,NA,NA,70BW5562396,6/16/2004,Botswana,Department of Wildlife and National Parks,Hunting dog,Democratic Republic of Congo,Gaborone,Democratic Republic of Congo,Ghahramani Reserve,Lycaon pictus,Likasi,Rudo Chiratidzo,1/3/2003,BW 33 505
Synthetic Data,3,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,Bat-eared fox,Tanzania,Liongwe,Zambia,Chika Kwame,Otocyon megalotis,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,5,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,Defassa waterbuck,Tanzania,Liongwe,Tanzania,Chika Kwame,Kobus ellipsiprymnus defassa,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,3,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,Crested porcupine,Tanzania,Liongwe,NA,Chika Kwame,Hystrix cristata,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,3,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,Great cormorant,Tanzania,Liongwe,Tanzania,Chika Kwame,Phalacrocorax carbo,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,5,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,Great crested grebe,Tanzania,Liongwe,Zambia,Chika Kwame,Podiceps cristatus,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,6,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,Lion,Tanzania,Liongwe,NA,Chika Kwame,,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,6,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,African hare,Tanzania,Liongwe,NA,Chika Kwame,Lepus capensis,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,4,C,Import Permit,NA,NA,NA,90MW5357799,5/8/2004,Malawi,Ministry of Information and Tourism,African bull frog,Tanzania,Liongwe,Tanzania,Chika Kwame,Pyxicephalus adspersus,Dar Es Salaam,Mudiwa Adaeze,1/4/2003,MW 86 790
Synthetic Data,4,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Slender mongoose,Mozambique,Jinja,NA,Wildlife Safari,Herpestes sanguineus,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,5,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Black mamba,Mozambique,Jinja,Mozambique,Wildlife Safari,Dendroaspis polylepis,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,8,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Squacco heron,Mozambique,Jinja,Zambia,Wildlife Safari,Ardeola ralloides,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,3,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Black-faced vervet monkey,Mozambique,Jinja,NA,Wildlife Safari,Cercopithecus aethiops,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,6,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Elephant,Mozambique,Jinja,NA,Wildlife Safari,,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,3,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Puff adder,Mozambique,Jinja,NA,Wildlife Safari,Bitis arietans,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,5,C,Import Permit,NA,NA,NA,30UG2461804,5/10/2004,Uganda,Uganda Wildlife Authority,Kirk's dik dik,Mozambique,Jinja,Mozambique,Wildlife Safari,Madoqua kirkii,Nacala,Olanrewaju Ekenedilichukwu,1/4/2003,UG 49 817
Synthetic Data,5,C,Import Permit,NA,NA,NA,09NA0348866,12/22/2004,Namibia,Ministry of Environment and Tourism,African darter,Zambia,Outjo,NA,Nsia Masozi,Anhinga rufa,Kitwe,Tafadzwa Achieng,1/4/2003,NA 93 617
Synthetic Data,4,C,Import Permit,NA,NA,NA,09NA0348866,12/22/2004,Namibia,Ministry of Environment and Tourism,Cokes hartebeest,Zambia,Outjo,Zambia,Nsia Masozi,Alcelaphus buselaphus,Kitwe,Tafadzwa Achieng,1/4/2003,NA 93 617
Synthetic Data,3,C,Import Permit,NA,NA,NA,09NA0348866,12/22/2004,Namibia,Ministry of Environment and Tourism,Jackson's chameleon,Zambia,Outjo,Zambia,Nsia Masozi,Chamaeleo jacksonii,Kitwe,Tafadzwa Achieng,1/4/2003,NA 93 617
Synthetic Data,4,C,Import Permit,NA,NA,NA,09NA0348866,12/22/2004,Namibia,Ministry of Environment and Tourism,Defassa waterbuck,Zambia,Outjo,Zambia,Nsia Masozi,Kobus ellipsiprymnus defassa,Kitwe,Tafadzwa Achieng,1/4/2003,NA 93 617
Synthetic Data,4,C,Import Permit,NA,NA,NA,09NA0348866,12/22/2004,Namibia,Ministry of Environment and Tourism,Olive baboon,Zambia,Outjo,NA,Nsia Masozi,Papio anubis,Kitwe,Tafadzwa Achieng,1/4/2003,NA 93 617
Synthetic Data,4,C,Import Permit,NA,NA,NA,35ZA1941006,7/11/2004,South Africa,Department of Environmental Affairs and Tourism,African hare,Namibia,Ladysmith,Namibia,Bratvold Zoo,Lepus capensis,Morea,Tau Uzoma,1/4/2003,ZA 66 686
Synthetic Data,4,C,Import Permit,NA,NA,NA,35ZA1941006,7/11/2004,South Africa,Department of Environmental Affairs and Tourism,Sable antelope,Namibia,Ladysmith,Namibia,Bratvold Zoo,Hippotragus niger,Morea,Tau Uzoma,1/4/2003,ZA 66 686
Synthetic Data,3,C,Import Permit,NA,NA,NA,35ZA1941006,7/11/2004,South Africa,Department of Environmental Affairs and Tourism,Cheetah,Namibia,Ladysmith,NA,Bratvold Zoo,Acinonyx jubatus,Morea,Tau Uzoma,1/4/2003,ZA 66 686
Synthetic Data,3,C,Import Permit,NA,NA,NA,50NA8408551,8/28/2004,Namibia,Ministry of Environment and Tourism,Uganda kob,Malaysia,Luderitz,Malaysia,Joy Urponen,Kobus kob,Kuala Lumpur,Chigenda Gero,1/5/2003,NA 99 483
Synthetic Data,5,C,Import Permit,NA,NA,NA,50NA8408551,8/28/2004,Namibia,Ministry of Environment and Tourism,Mountain reedbuck,Malaysia,Luderitz,Malaysia,Joy Urponen,Redunca fulvorufula,Kuala Lumpur,Chigenda Gero,1/5/2003,NA 99 483
Synthetic Data,6,C,Import Permit,NA,NA,NA,50NA8408551,8/28/2004,Namibia,Ministry of Environment and Tourism,Bat-eared fox,Malaysia,Luderitz,NA,Joy Urponen,Otocyon megalotis,Kuala Lumpur,Chigenda Gero,1/5/2003,NA 99 483
Synthetic Data,4,C,Import Permit,NA,NA,NA,09MZ4558336,6/1/2004,Mozambique,National Directorate of Forestry and Wildlife,Serval,Mozambique,Pemba,NA,Lanzi Safari,Leptailurus serval,Nampula,Dada Enu,1/5/2003,MZ 05 029
Synthetic Data,6,C,Import Permit,NA,NA,NA,09MZ4558336,6/1/2004,Mozambique,National Directorate of Forestry and Wildlife,Lowland gorilla,Mozambique,Pemba,NA,Lanzi Safari,Gorilla gorilla graueri,Nampula,Dada Enu,1/5/2003,MZ 05 029
Synthetic Data,6,C,Import Permit,NA,NA,NA,09MZ4558336,6/1/2004,Mozambique,National Directorate of Forestry and Wildlife,Greater flamingo,Mozambique,Pemba,NA,Lanzi Safari,Phoenicopterus ruber,Nampula,Dada Enu,1/5/2003,MZ 05 029
Synthetic Data,4,C,Import Permit,NA,NA,NA,09MZ4558336,6/1/2004,Mozambique,National Directorate of Forestry and Wildlife,Eastern green mamba,Mozambique,Pemba,NA,Lanzi Safari,Dendroaspis angusticeps,Nampula,Dada Enu,1/5/2003,MZ 05 029
Synthetic Data,2,C,Import Permit,NA,NA,NA,09MZ4558336,6/1/2004,Mozambique,National Directorate of Forestry and Wildlife,Lesser galago,Mozambique,Pemba,Zambia,Lanzi Safari,Galago senegalensis,Nampula,Dada Enu,1/5/2003,MZ 05 029
Synthetic Data,3,C,Import Permit,NA,NA,NA,17BW7052275,2/9/2004,Botswana,Department of Wildlife and National Parks,Rhinoceros viper,Botswana,Gaborone,Botswana,Outdoors Park,Bitis nasicornis,Serowe,Bisseret Zoo,1/6/2003,BW 98 360
Synthetic Data,3,C,Import Permit,NA,NA,NA,17BW7052275,2/9/2004,Botswana,Department of Wildlife and National Parks,Forest cobra,Botswana,Gaborone,Botswana,Outdoors Park,Naja melanolenca,Serowe,Bisseret Zoo,1/6/2003,BW 98 360
Synthetic Data,2,C,Import Permit,NA,NA,NA,17BW7052275,2/9/2004,Botswana,Department of Wildlife and National Parks,Common duiker,Botswana,Gaborone,NA,Outdoors Park,Sylvicapra grimmia,Serowe,Bisseret Zoo,1/6/2003,BW 98 360
Synthetic Data,6,C,Import Permit,NA,NA,NA,50NA6936415,2/9/2004,Namibia,Ministry of Environment and Tourism,Lesser galago,Namibia,Windhoek,Zambia,Huntsman Hooman Safari,Galago senegalensis,Morea,Gwembeshe Thabo,1/7/2003,NA 79 835
